Metabolite	Score	Normalized score	No. of reactions	No. of positive reactions	No. of negative reactions	candidate reactions	positive reactions	negative reactions	Positive score	Negative score
1ddecg3p_p	0.0	0.0	1	0	0	LPLIPAL1A120pp			0.0	0.0
1hdec9eg3p_c	0.04083467735949164	0.04083467735949164	1	0	1	AGPAT161		AGPAT161	0.0	-0.0408346773595
1hdec9eg3p_p	0.0	0.0	1	0	0	LPLIPAL1A161pp			0.0	0.0
1hdecg3p_c	0.03645534250263351	0.03645534250263351	1	0	1	AGPAT160		AGPAT160	0.0	-0.0364553425026
1hdecg3p_p	0.0	0.0	1	0	0	LPLIPAL1A160pp			0.0	0.0
1odec11eg3p_c	0.0	0.0	1	0	0	AGPAT181			0.0	0.0
1odec11eg3p_p	0.0	0.0	1	0	0	LPLIPAL1A181pp			0.0	0.0
1odecg3p_c	0.0	0.0	1	0	0	AGPAT180			0.0	0.0
1odecg3p_p	0.0	0.0	1	0	0	LPLIPAL1A180pp			0.0	0.0
1pyr5c_c	0.14038460476483294	0.09926690600340668	2	0	2	P5CR;P5CD		P5CR;P5CD	0.0	-0.140384604765
1tdec7eg3p_c	0.0	0.0	1	0	0	AGPAT141			0.0	0.0
1tdec7eg3p_p	0.0	0.0	1	0	0	LPLIPAL1A141pp			0.0	0.0
1tdecg3p_c	0.0	0.0	1	0	0	AGPAT140			0.0	0.0
1tdecg3p_p	0.0	0.0	1	0	0	LPLIPAL1A140pp			0.0	0.0
23camp_e	0.0	0.0	2	0	0	23CAMPtex;EX_23camp_LPAREN_e_RPAREN_			0.0	0.0
23camp_p	0.0	0.0	2	0	0	23CAMPtex_reverse;23PDE7pp			0.0	0.0
23ccmp_e	0.0	0.0	2	0	0	23CCMPtex;EX_23ccmp_LPAREN_e_RPAREN_			0.0	0.0
23ccmp_p	0.0	0.0	2	0	0	23CCMPtex_reverse;23PDE4pp			0.0	0.0
23cgmp_e	0.0	0.0	2	0	0	EX_23cgmp_LPAREN_e_RPAREN_;23CGMPtex			0.0	0.0
23cgmp_p	0.0	0.0	2	0	0	23CGMPtex_reverse;23PDE9pp			0.0	0.0
23cump_e	0.0	0.0	2	0	0	23CUMPtex;EX_23cump_LPAREN_e_RPAREN_			0.0	0.0
23cump_p	0.0	0.0	2	0	0	23PDE2pp;23CUMPtex_reverse			0.0	0.0
23dappa_c	0.0	0.0	1	0	0	DAPAL			0.0	0.0
23dappa_e	0.0	0.0	2	0	0	23DAPPAtex;EX_23dappa_LPAREN_e_RPAREN_			0.0	0.0
23dappa_p	0.0	0.0	2	0	0	23DAPPAt2pp;23DAPPAtex_reverse			0.0	0.0
23ddhb_c	0.0	0.0	1	0	0	DHBD			0.0	0.0
23dhacoa_c	0.0	0.0	1	0	0	DHACOAH			0.0	0.0
23dhb_c	0.0	0.0	2	0	0	DHBD_reverse;DHBS			0.0	0.0
23dhba_c	0.0	0.0	1	0	0	ENTCS			0.0	0.0
23dhbzs_c	0.0	0.0	1	0	0	DHBSH			0.0	0.0
23dhdp_c	0.21653035699672907	0.21653035699672907	1	0	1	DHDPRy		DHDPRy	0.0	-0.216530356997
23dhmb_c	0.9741002551106586	0.6887928959442925	2	1	1	KARA1;DHAD1	KARA1	DHAD1	0.515227312348	-0.458872942762
23dhmp_c	0.3049768370782516	0.21565118960285656	2	1	1	KARA2_reverse;DHAD2	KARA2_reverse	DHAD2	0.152488418539	-0.152488418539
23doguln_c	0.0	0.0	1	0	0	DOGULNR			0.0	0.0
25aics_c	1.4374322339809851e-05	1.4374322339809851e-05	1	0	1	ADSL2r		ADSL2r	0.0	-1.43743223398e-05
25dkglcn_c	0.0	0.0	3	0	0	DKGLCNR2x;DKGLCNR2y;DKGLCNR1			0.0	0.0
25drapp_c	0.0002340896594435684	0.0002340896594435684	1	0	1	DHPPDA2		DHPPDA2	0.0	-0.000234089659444
26dap_DASH_LL_c	0.0	0.0	1	0	0	DAPE			0.0	0.0
26dap_DASH_M_c	0.43529672872890357	0.251318683508996	3	1	2	DAPE_reverse;DAPDC;UAAGDS	DAPE_reverse	DAPDC;UAAGDS	0.216530356997	-0.218766371732
26dap_DASH_M_e	0.0	0.0	2	0	0	26DAHtex;EX_26dap_DASH_M_LPAREN_e_RPAREN_			0.0	0.0
26dap_DASH_M_p	0.0	0.0	2	0	0	DAPabcpp;26DAHtex_reverse			0.0	0.0
2agpe120_c	0.0	0.0	3	0	0	2AGPEAT120;LPLIPAL2ATE120;LPLIPAL2E120			0.0	0.0
2agpe120_p	0.0	0.0	1	0	0	2AGPE120tipp			0.0	0.0
2agpe140_c	0.0	0.0	3	0	0	LPLIPAL2E140;LPLIPAL2ATE140;2AGPEAT140			0.0	0.0
2agpe140_p	0.0	0.0	1	0	0	2AGPE140tipp			0.0	0.0
2agpe141_c	0.0	0.0	3	0	0	LPLIPAL2ATE141;LPLIPAL2E141;2AGPEAT141			0.0	0.0
2agpe141_p	0.0	0.0	1	0	0	2AGPE141tipp			0.0	0.0
2agpe160_c	0.0029616260727563827	0.0017098956103449119	3	0	1	LPLIPAL2E160;2AGPEAT160;LPLIPAL2ATE160		LPLIPAL2E160	0.0	-0.00296162607276
2agpe160_p	0.0029616260727563827	0.0029616260727563827	1	0	1	2AGPE160tipp		2AGPE160tipp	0.0	-0.00296162607276
2agpe161_c	0.0013575032667098206	0.0007837548764607113	3	0	1	LPLIPAL2E161;2AGPEAT161;LPLIPAL2ATE161		LPLIPAL2E161	0.0	-0.00135750326671
2agpe161_p	0.0013575032667098206	0.0013575032667098206	1	0	1	2AGPE161tipp		2AGPE161tipp	0.0	-0.00135750326671
2agpe180_c	0.0	0.0	3	0	0	LPLIPAL2E180;LPLIPAL2ATE180;2AGPEAT180			0.0	0.0
2agpe180_p	0.0	0.0	1	0	0	2AGPE180tipp			0.0	0.0
2agpe181_c	0.0	0.0	3	0	0	LPLIPAL2ATE181;LPLIPAL2E181;2AGPEAT181			0.0	0.0
2agpe181_p	0.0	0.0	1	0	0	2AGPE181tipp			0.0	0.0
2agpg120_c	0.0	0.0	3	0	0	2AGPGAT120;LPLIPAL2G120;LPLIPAL2ATG120			0.0	0.0
2agpg120_p	0.0	0.0	1	0	0	2AGPG120tipp			0.0	0.0
2agpg140_c	0.0	0.0	3	0	0	LPLIPAL2ATG140;2AGPGAT140;LPLIPAL2G140			0.0	0.0
2agpg140_p	0.0	0.0	1	0	0	2AGPG140tipp			0.0	0.0
2agpg141_c	0.0	0.0	3	0	0	LPLIPAL2ATG141;2AGPGAT141;LPLIPAL2G141			0.0	0.0
2agpg141_p	0.0	0.0	1	0	0	2AGPG141tipp			0.0	0.0
2agpg160_c	0.0	0.0	3	0	0	LPLIPAL2G160;LPLIPAL2ATG160;2AGPGAT160			0.0	0.0
2agpg160_p	0.0	0.0	1	0	0	2AGPG160tipp			0.0	0.0
2agpg161_c	0.0	0.0	3	0	0	LPLIPAL2ATG161;LPLIPAL2G161;2AGPGAT161			0.0	0.0
2agpg161_p	0.0	0.0	1	0	0	2AGPG161tipp			0.0	0.0
2agpg180_c	0.0	0.0	3	0	0	2AGPGAT180;LPLIPAL2G180;LPLIPAL2ATG180			0.0	0.0
2agpg180_p	0.0	0.0	1	0	0	2AGPG180tipp			0.0	0.0
2agpg181_c	0.0	0.0	3	0	0	2AGPGAT181;LPLIPAL2G181;LPLIPAL2ATG181			0.0	0.0
2agpg181_p	0.0	0.0	1	0	0	2AGPG181tipp			0.0	0.0
2ahbut_c	0.0	0.0	1	0	0	KARA2			0.0	0.0
2amsa_c	0.0	0.0	2	0	0	DSERDHr_reverse;LSERDHr_reverse			0.0	0.0
2aobut_c	0.04753914025226022	0.027446735421685815	3	0	1	ATHRDHr_reverse;GLYAT_reverse;AOBUTDs		GLYAT_reverse	0.0	-0.0475391402523
2cpr5p_c	2.868223198432001	2.868223198432001	1	1	0	IGPS	IGPS		2.86822319843	0.0
2dda7p_c	2.6980221706165555	2.6980221706165555	1	1	0	DHQS	DHQS		2.69802217062	0.0
2ddecg3p_c	0.0	0.0	1	0	0	LPLIPAL2A120			0.0	0.0
2ddecg3p_p	0.0	0.0	1	0	0	2AGPA120tipp			0.0	0.0
2ddg6p_c	0.0	0.0	1	0	0	EDA			0.0	0.0
2ddglcn_c	0.0	0.0	2	0	0	DDGLK;DDGLCNt2rpp_reverse			0.0	0.0
2ddglcn_e	0.0	0.0	2	0	0	DDGLCNtex;EX_2ddglcn_LPAREN_e_RPAREN_			0.0	0.0
2ddglcn_p	0.0	0.0	2	0	0	DDGLCNt2rpp;DDGLCNtex_reverse			0.0	0.0
2dh3dgal6p_c	0.0	0.0	1	0	0	DDPGALA			0.0	0.0
2dh3dgal_c	0.0	0.0	1	0	0	DDGALK			0.0	0.0
2dhguln_c	0.0	0.0	4	0	0	2DGULRGy;2DGULRGx;2DGULRy;2DGULRx			0.0	0.0
2dhp_c	0.0003023220713892962	0.0003023220713892962	1	0	1	DPR		DPR	0.0	-0.000302322071389
2dmmq8_c	0.0	0.0	6	0	0	G3PD7;NADH9;HYD3pp;NADPHQR4;GLYCTO4;NADH18pp			0.0	0.0
2dmmql8_c	0.0	0.0	7	0	0	AMMQLT8;TMAOR2pp;TMAOR2;Ec_biomass_iJO1366_WT_53p95M;DMSOR2;FRD3;DMSOR2pp			0.0	0.0
2dr1p_c	0.0	0.0	6	0	0	PUNP6_reverse;PPM2;DURIPP_reverse;PUNP4_reverse;PUNP2_reverse;TMDPP_reverse			0.0	0.0
2dr5p_c	0.0	0.0	2	0	0	DRPA;PPM2_reverse			0.0	0.0
2fe1s_c	1.4428529029780982e-06	1.0202510719505089e-06	2	0	1	I2FE2SR;S2FE2SR		I2FE2SR	0.0	-1.44285290298e-06
2fe2s_c	0.5248660212075543	0.30303153863266935	3	0	2	Ec_biomass_iJO1366_WT_53p95M;BTS5;Ec_biomass_iJO1366_core_53p95M		BTS5;Ec_biomass_iJO1366_core_53p95M	0.0	-0.524866021208
2h3oppan_c	0.01323268791572843	0.009356923358536854	2	0	1	TRSARr;HPYRI_reverse		TRSARr	0.0	-0.0132326879157
2hdec9eg3p_c	0.0	0.0	1	0	0	LPLIPAL2A161			0.0	0.0
2hdec9eg3p_p	0.0	0.0	1	0	0	2AGPA161tipp			0.0	0.0
2hdecg3p_c	0.0	0.0	1	0	0	LPLIPAL2A160			0.0	0.0
2hdecg3p_p	0.0	0.0	1	0	0	2AGPA160tipp			0.0	0.0
2ippm_c	0.2364678214321148	0.167208000067058	2	0	1	IPPMIa_reverse;IPPMIb		IPPMIa_reverse	0.0	-0.236467821432
2mahmp_c	0.00013141915206153675	9.292737360049868e-05	2	0	2	2MAHMP;TMPPP		2MAHMP;TMPPP	0.0	-0.000131419152062
2mcacn_c	0.0	0.0	1	0	0	MICITDr			0.0	0.0
2mcit_c	0.0	0.0	1	0	0	MCITD			0.0	0.0
2me4p_c	0.0012539017856736626	0.0012539017856736626	1	0	1	MEPCT		MEPCT	0.0	-0.00125390178567
2mecdp_c	0.0012539017856736626	0.0012539017856736626	1	0	1	MECDPDH5		MECDPDH5	0.0	-0.00125390178567
2obut_c	0.1524884185391258	0.10782559480142828	2	0	1	ACHBS;OBTFL		ACHBS	0.0	-0.152488418539
2odec11eg3p_c	0.0	0.0	1	0	0	LPLIPAL2A181			0.0	0.0
2odec11eg3p_p	0.0	0.0	1	0	0	2AGPA181tipp			0.0	0.0
2odecg3p_c	0.0	0.0	1	0	0	LPLIPAL2A180			0.0	0.0
2odecg3p_p	0.0	0.0	1	0	0	2AGPA180tipp			0.0	0.0
2ohph_c	0.5248647072723405	0.37113539371776416	2	0	1	Ec_biomass_iJO1366_core_53p95M;OHPHM		Ec_biomass_iJO1366_core_53p95M	0.0	-0.524864707272
2ombzl_c	0.0	0.0	1	0	0	OMBZLM			0.0	0.0
2omhmbl_c	0.0	0.0	1	0	0	DMQMT			0.0	0.0
2ommbl_c	0.0	0.0	2	0	0	OMMBLHX3;OMMBLHX			0.0	0.0
2omph_c	0.0	0.0	2	0	0	OMPHHX3;OMPHHX			0.0	0.0
2oph_c	0.00011704482972173632	8.276319279906451e-05	2	0	2	OPHHX3;OPHHX		OPHHX3;OPHHX	0.0	-0.000117044829722
2oxpaccoa_c	0.0	0.0	2	0	0	REPHACCOAI_reverse;OXCOAHDH			0.0	0.0
2p4c2me_c	0.0012539017856736626	0.0012539017856736626	1	0	1	MECDPS		MECDPS	0.0	-0.00125390178567
2pg_c	3.580505505010416	2.531799722668629	2	0	1	PGM;ENO		ENO	0.0	-3.58050550501
2pglyc_c	0.0	0.0	1	0	0	PGLYCP			0.0	0.0
2sephchc_c	0.0	0.0	1	0	0	SHCHCS3			0.0	0.0
2shchc_c	0.0	0.0	1	0	0	SUCBZS			0.0	0.0
2tdec7eg3p_c	0.0	0.0	1	0	0	LPLIPAL2A141			0.0	0.0
2tdec7eg3p_p	0.0	0.0	1	0	0	2AGPA141tipp			0.0	0.0
2tdecg3p_c	0.0	0.0	1	0	0	LPLIPAL2A140			0.0	0.0
2tdecg3p_p	0.0	0.0	1	0	0	2AGPA140tipp			0.0	0.0
2tpr3dpcoa_c	0.0	0.0	0	0	0				0.0	0.0
34dhpac_e	0.0	0.0	2	0	0	EX_34dhpac_LPAREN_e_RPAREN_;34dhpactex			0.0	0.0
34dhpac_p	0.0	0.0	1	0	0	34dhpactex_reverse			0.0	0.0
34hpp_c	0.07249378850374841	0.07249378850374841	1	0	1	TYRTA_reverse		TYRTA_reverse	0.0	-0.0724937885037
35cgmp_c	0.0	0.0	1	0	0	PDE4			0.0	0.0
3amac_c	0.0	0.0	1	0	0	3AMACHYD			0.0	0.0
3amp_e	0.0	0.0	2	0	0	EX_3amp_LPAREN_e_RPAREN_;3AMPtex			0.0	0.0
3amp_p	0.0	0.0	2	0	0	3AMPtex_reverse;3NTD7pp			0.0	0.0
3c2hmp_c	0.2364678214321148	0.167208000067058	2	0	1	IPMD;IPPMIa		IPMD	0.0	-0.236467821432
3c3hmp_c	0.2364678214321148	0.2364678214321148	1	0	1	IPPMIb_reverse		IPPMIb_reverse	0.0	-0.236467821432
3c4mop_c	0.2364678214321148	0.2364678214321148	1	0	1	OMCDC		OMCDC	0.0	-0.236467821432
3cmp_e	0.0	0.0	2	0	0	EX_3cmp_LPAREN_e_RPAREN_;3CMPtex			0.0	0.0
3cmp_p	0.0	0.0	2	0	0	3CMPtex_reverse;3NTD4pp			0.0	0.0
3dhguln_c	0.0	0.0	1	0	0	3KGK			0.0	0.0
3dhgulnp_c	0.0	0.0	1	0	0	KG6PDC			0.0	0.0
3dhq_c	2.6980221706165555	1.9077897726346145	2	1	0	QUINDH_reverse;DHQTi	DHQTi		2.69802217062	0.0
3dhsk_c	2.6980221706165555	2.6980221706165555	1	1	0	SHK3Dr	SHK3Dr		2.69802217062	0.0
3fe4s_c	0.004098143634382434	0.004098143634382434	1	0	1	FESR		FESR	0.0	-0.00409814363438
3gmp_e	0.0	0.0	2	0	0	3GMPtex;EX_3gmp_LPAREN_e_RPAREN_			0.0	0.0
3gmp_p	0.0	0.0	2	0	0	3NTD9pp;3GMPtex_reverse			0.0	0.0
3haACP_c	0.0	0.0	2	0	0	3HAD40;3OAR40_reverse			0.0	0.0
3hadpcoa_c	0.0	0.0	2	0	0	DHACOAH_reverse;HADPCOADH3			0.0	0.0
3hbcoa_c	0.2260074331895173	0.15981138860687324	2	1	0	HACD1_reverse;ECOAH1	HACD1_reverse		0.22600743319	0.0
3hcddec5eACP_c	0.0	0.0	1	0	0	3HAD121			0.0	0.0
3hcinnm_c	0.0	0.0	2	0	0	3HCINNMH;HCINNMt2rpp_reverse			0.0	0.0
3hcinnm_e	0.0	0.0	2	0	0	HCINNMtex;EX_3hcinnm_LPAREN_e_RPAREN_			0.0	0.0
3hcinnm_p	0.0	0.0	2	0	0	HCINNMt2rpp;HCINNMtex_reverse			0.0	0.0
3hcmrs7eACP_c	0.0	0.0	1	0	0	3HAD141			0.0	0.0
3hcpalm9eACP_c	0.0	0.0	1	0	0	3HAD161			0.0	0.0
3hcvac11eACP_c	0.0	0.0	1	0	0	3HAD181			0.0	0.0
3hdcoa_c	0.18678885202408055	0.13207966391627793	2	1	0	ECOAH4;HACD4_reverse	HACD4_reverse		0.186788852024	0.0
3hddcoa_c	0.18678885202408055	0.13207966391627793	2	1	0	HACD5_reverse;ECOAH5	HACD5_reverse		0.186788852024	0.0
3hddecACP_c	0.0	0.0	2	0	0	3HAD120;3OAR120_reverse			0.0	0.0
3hdecACP_c	0.0	0.0	2	0	0	3HAD100;3OAR100_reverse			0.0	0.0
3hhcoa_c	0.18678885202408055	0.13207966391627793	2	1	0	HACD2_reverse;ECOAH2	HACD2_reverse		0.186788852024	0.0
3hhdcoa_c	0.14594178104531788	0.10319642303558661	2	1	0	HACD7_reverse;ECOAH7	HACD7_reverse		0.145941781045	0.0
3hhexACP_c	0.0	0.0	2	0	0	3OAR60_reverse;3HAD60			0.0	0.0
3hmrsACP_c	0.06127060646814395	0.030635303234071976	4	1	1	U23GAAT;3OAR140_reverse;UAGAAT;3HAD140	3OAR140_reverse	U23GAAT	0.0408470709788	-0.0204235354894
3hocoa_c	0.18678885202408055	0.13207966391627793	2	1	0	HACD3_reverse;ECOAH3	HACD3_reverse		0.186788852024	0.0
3hoctACP_c	0.0	0.0	2	0	0	3OAR80_reverse;3HAD80			0.0	0.0
3hoctaACP_c	0.0	0.0	2	0	0	3OAR180_reverse;3HAD180			0.0	0.0
3hodcoa_c	0.0	0.0	2	0	0	ECOAH8;HACD8_reverse			0.0	0.0
3hpalmACP_c	0.0	0.0	2	0	0	3OAR160_reverse;3HAD160			0.0	0.0
3hpp_c	0.0	0.0	1	0	0	3HPPtpp			0.0	0.0
3hpp_e	0.0	0.0	2	0	0	EX_3hpp_LPAREN_e_RPAREN_;3HPPtex			0.0	0.0
3hpp_p	0.0	0.0	1	0	0	3HPPtex_reverse			0.0	0.0
3hpppn_c	0.0	0.0	2	0	0	3HPPPNH;HPPPNt2rpp_reverse			0.0	0.0
3hpppn_e	0.0	0.0	2	0	0	EX_3hpppn_LPAREN_e_RPAREN_;HPPPNtex			0.0	0.0
3hpppn_p	0.0	0.0	2	0	0	HPPPNt2rpp;HPPPNtex_reverse			0.0	0.0
3htdcoa_c	0.16386494953194022	0.1158700170128263	2	1	0	HACD6_reverse;ECOAH6	HACD6_reverse		0.163864949532	0.0
3ig3p_c	2.868223198432001	2.0281400735678363	2	1	0	TRPS3;TRPS1	TRPS3		2.86822319843	0.0
3mob_c	0.4588729427622822	0.2294364713811411	4	0	3	VPAMTr;VALTA_reverse;IPPS;MOHMT		VALTA_reverse;IPPS;MOHMT	0.0	-0.458872942762
3mop_c	0.1712155821941086	0.1712155821941086	1	0	1	ILETA_reverse		ILETA_reverse	0.0	-0.171215582194
3ocddec5eACP_c	0.0	0.0	1	0	0	3OAR121			0.0	0.0
3ocmrs7eACP_c	0.0	0.0	1	0	0	3OAR141			0.0	0.0
3ocpalm9eACP_c	0.0	0.0	1	0	0	3OAR161			0.0	0.0
3ocvac11eACP_c	0.0	0.0	1	0	0	3OAR181			0.0	0.0
3odcoa_c	0.0	0.0	2	0	0	ACACT4r_reverse;HACD4			0.0	0.0
3oddcoa_c	0.0	0.0	2	0	0	ACACT5r_reverse;HACD5			0.0	0.0
3oddecACP_c	0.0	0.0	1	0	0	3OAR120			0.0	0.0
3odecACP_c	0.0	0.0	1	0	0	3OAR100			0.0	0.0
3ohcoa_c	0.0	0.0	2	0	0	ACACT2r_reverse;HACD2			0.0	0.0
3ohdcoa_c	0.16386494953194022	0.1158700170128263	2	1	0	ACACT7r_reverse;HACD7	ACACT7r_reverse		0.163864949532	0.0
3ohexACP_c	0.0	0.0	1	0	0	3OAR60			0.0	0.0
3omrsACP_c	0.0	0.0	1	0	0	3OAR140			0.0	0.0
3oocoa_c	0.0	0.0	2	0	0	HACD3;ACACT3r_reverse			0.0	0.0
3ooctACP_c	0.0	0.0	1	0	0	3OAR80			0.0	0.0
3ooctdACP_c	0.0	0.0	1	0	0	3OAR180			0.0	0.0
3oodcoa_c	0.0	0.0	2	0	0	HACD8;ACACT8r			0.0	0.0
3opalmACP_c	0.0	0.0	1	0	0	3OAR160			0.0	0.0
3ophb_c	0.00011704482972173636	0.00011704482972173636	1	0	1	OPHBDC		OPHBDC	0.0	-0.000117044829722
3otdcoa_c	0.1638649495319402	0.11587001701282629	2	2	0	ACACT6r_reverse;HACD6	ACACT6r_reverse;HACD6		0.163864949532	0.0
3oxdhscoa_c	0.0	0.0	1	0	0	OXDHCOAT			0.0	0.0
3pg_c	4.545992198089885	2.6246298193011337	3	0	2	PGCD;PGM_reverse;PGK		PGCD;PGM_reverse	0.0	-4.54599219809
3php_c	0.9654866930794688	0.9654866930794688	1	0	1	PSERT		PSERT	0.0	-0.965486693079
3psme_c	2.6980221706165555	1.9077897726346145	2	1	0	CHORS;PSCVT_reverse	CHORS		2.69802217062	0.0
3sala_c	0.0	0.0	1	0	0	CYSSADS			0.0	0.0
3ump_e	0.0	0.0	2	0	0	EX_3ump_LPAREN_e_RPAREN_;3UMPtex			0.0	0.0
3ump_p	0.0	0.0	2	0	0	3NTD2pp;3UMPtex_reverse			0.0	0.0
4abut_c	0.02192915138903497	0.015506251652853024	2	0	1	ABTA;GLUABUTt7pp		ABTA	0.0	-0.021929151389
4abut_e	0.0	0.0	2	0	0	ABUTtex;EX_4abut_LPAREN_e_RPAREN_			0.0	0.0
4abut_p	0.0	0.0	3	0	0	ABUTt2pp;ABUTtex_reverse;GLUABUTt7pp_reverse			0.0	0.0
4abutn_c	0.02192915138903497	0.02192915138903497	1	0	1	ABUTD		ABUTD	0.0	-0.021929151389
4abz_c	0.0003511344891652353	0.0003511344891652353	1	0	1	DHPS2		DHPS2	0.0	-0.000351134489165
4adcho_c	0.0003511344891652353	0.0003511344891652353	1	0	1	ADCL		ADCL	0.0	-0.000351134489165
4ahmmp_c	0.0	0.0	1	0	0	HMPK1			0.0	0.0
4ampm_c	0.00013141915206153678	0.00013141915206153678	1	0	1	PMPK		PMPK	0.0	-0.000131419152062
4c2me_c	0.0012539017856736626	0.0012539017856736626	1	0	1	CDPMEK		CDPMEK	0.0	-0.00125390178567
4crsol_c	0.00011704482972173191	0.00011704482972173191	1	0	1	DM_4CRSOL		DM_4CRSOL	0.0	-0.000117044829722
4fe4s_c	0.5269137790895317	0.23564300566510002	5	0	2	LIPOS;Ec_biomass_iJO1366_WT_53p95M;FESD1s;FESD2s;Ec_biomass_iJO1366_core_53p95M		FESD1s;Ec_biomass_iJO1366_core_53p95M	0.0	-0.52691377909
4h2opntn_c	0.0	0.0	1	0	0	HOPNTAL			0.0	0.0
4hbz_c	0.00011704482972173636	0.00011704482972173636	1	0	1	HBZOPT		HBZOPT	0.0	-0.000117044829722
4hoxpacd_e	0.0	0.0	2	0	0	EX_4hoxpacd_LPAREN_e_RPAREN_;4HOXPACDtex			0.0	0.0
4hoxpacd_p	0.0	0.0	1	0	0	4HOXPACDtex_reverse			0.0	0.0
4hthr_c	0.0	0.0	0	0	0				0.0	0.0
4mhetz_c	0.0	0.0	1	0	0	HETZK			0.0	0.0
4mop_c	0.2364678214321148	0.2364678214321148	1	0	1	LEUTAi		LEUTAi	0.0	-0.236467821432
4mpetz_c	0.00011704482972173191	0.00011704482972173191	1	0	1	TMPPP		TMPPP	0.0	-0.000117044829722
